Training config: {'data_path': 'processed_data/processed.pt', 'hidden_dim': 256, 'dropout': 0.4, 'lr': 0.0005, 'batch_size': 128, 'num_epochs': 200, 'patience': 10, 'seed': 42, 'model_save_path': 'saved_models'}
Epoch 1/200 | Train Loss: 0.5921 | Val Acc: 0.7414 | Prec: 0.6975 | Rec: 0.8593 | F1: 0.7700 | AUC: 0.8263 | LR: 5.00e-04
Epoch 16/200 | Train Loss: 0.3526 | Val Acc: 0.8544 | Prec: 0.8725 | Rec: 0.8327 | F1: 0.8521 | AUC: 0.8946 | LR: 5.00e-04
Epoch 17/200 | Train Loss: 0.3501 | Val Acc: 0.8448 | Prec: 0.8500 | Rec: 0.8403 | F1: 0.8451 | AUC: 0.9015 | LR: 5.00e-04
Epoch 18/200 | Train Loss: 0.3450 | Val Acc: 0.8487 | Prec: 0.8566 | Rec: 0.8403 | F1: 0.8484 | AUC: 0.9074 | LR: 5.00e-04
Epoch 19/200 | Train Loss: 0.3449 | Val Acc: 0.8429 | Prec: 0.8952 | Rec: 0.7795 | F1: 0.8333 | AUC: 0.9032 | LR: 5.00e-04
Epoch 20/200 | Train Loss: 0.3527 | Val Acc: 0.8563 | Prec: 0.8760 | Rec: 0.8327 | F1: 0.8538 | AUC: 0.9004 | LR: 5.00e-04
Epoch 21/200 | Train Loss: 0.3348 | Val Acc: 0.8544 | Prec: 0.8638 | Rec: 0.8441 | F1: 0.8538 | AUC: 0.9069 | LR: 5.00e-04
Epoch 22/200 | Train Loss: 0.3158 | Val Acc: 0.8506 | Prec: 0.8627 | Rec: 0.8365 | F1: 0.8494 | AUC: 0.9181 | LR: 5.00e-04
Epoch 23/200 | Train Loss: 0.3304 | Val Acc: 0.8582 | Prec: 0.8765 | Rec: 0.8365 | F1: 0.8560 | AUC: 0.9080 | LR: 5.00e-04
Epoch 24/200 | Train Loss: 0.3366 | Val Acc: 0.8621 | Prec: 0.8963 | Rec: 0.8213 | F1: 0.8571 | AUC: 0.9189 | LR: 5.00e-04
Epoch 25/200 | Train Loss: 0.3472 | Val Acc: 0.8621 | Prec: 0.8835 | Rec: 0.8365 | F1: 0.8594 | AUC: 0.9068 | LR: 5.00e-04
Epoch 26/200 | Train Loss: 0.3341 | Val Acc: 0.8602 | Prec: 0.8770 | Rec: 0.8403 | F1: 0.8583 | AUC: 0.9156 | LR: 5.00e-04
Epoch 27/200 | Train Loss: 0.3293 | Val Acc: 0.8659 | Prec: 0.9038 | Rec: 0.8213 | F1: 0.8606 | AUC: 0.9197 | LR: 5.00e-04
Epoch 28/200 | Train Loss: 0.3198 | Val Acc: 0.8602 | Prec: 0.8893 | Rec: 0.8251 | F1: 0.8560 | AUC: 0.9196 | LR: 5.00e-04
Epoch 29/200 | Train Loss: 0.3227 | Val Acc: 0.8602 | Prec: 0.8862 | Rec: 0.8289 | F1: 0.8566 | AUC: 0.9149 | LR: 5.00e-04
Epoch 30/200 | Train Loss: 0.3333 | Val Acc: 0.8582 | Prec: 0.8649 | Rec: 0.8517 | F1: 0.8582 | AUC: 0.9156 | LR: 5.00e-04
Epoch 31/200 | Train Loss: 0.3294 | Val Acc: 0.8602 | Prec: 0.8682 | Rec: 0.8517 | F1: 0.8599 | AUC: 0.9197 | LR: 5.00e-04
Epoch 32/200 | Train Loss: 0.3185 | Val Acc: 0.8640 | Prec: 0.8871 | Rec: 0.8365 | F1: 0.8611 | AUC: 0.9194 | LR: 5.00e-04
Epoch 33/200 | Train Loss: 0.3325 | Val Acc: 0.8467 | Prec: 0.8453 | Rec: 0.8517 | F1: 0.8485 | AUC: 0.9189 | LR: 2.50e-04
Epoch 34/200 | Train Loss: 0.3150 | Val Acc: 0.8621 | Prec: 0.8775 | Rec: 0.8441 | F1: 0.8605 | AUC: 0.9173 | LR: 2.50e-04
Epoch 35/200 | Train Loss: 0.2937 | Val Acc: 0.8640 | Prec: 0.8750 | Rec: 0.8517 | F1: 0.8632 | AUC: 0.9206 | LR: 2.50e-04
Epoch 36/200 | Train Loss: 0.3223 | Val Acc: 0.8640 | Prec: 0.8871 | Rec: 0.8365 | F1: 0.8611 | AUC: 0.9126 | LR: 2.50e-04
Epoch 37/200 | Train Loss: 0.3359 | Val Acc: 0.8563 | Prec: 0.8615 | Rec: 0.8517 | F1: 0.8566 | AUC: 0.9123 | LR: 2.50e-04
Epoch 38/200 | Train Loss: 0.3098 | Val Acc: 0.8582 | Prec: 0.8706 | Rec: 0.8441 | F1: 0.8571 | AUC: 0.9151 | LR: 2.50e-04
Epoch 39/200 | Train Loss: 0.3045 | Val Acc: 0.8602 | Prec: 0.8862 | Rec: 0.8289 | F1: 0.8566 | AUC: 0.9191 | LR: 2.50e-04
Epoch 40/200 | Train Loss: 0.2916 | Val Acc: 0.8736 | Prec: 0.8924 | Rec: 0.8517 | F1: 0.8716 | AUC: 0.9219 | LR: 2.50e-04
Epoch 41/200 | Train Loss: 0.2822 | Val Acc: 0.8582 | Prec: 0.8621 | Rec: 0.8555 | F1: 0.8588 | AUC: 0.9232 | LR: 2.50e-04
Epoch 42/200 | Train Loss: 0.2842 | Val Acc: 0.8621 | Prec: 0.8687 | Rec: 0.8555 | F1: 0.8621 | AUC: 0.9254 | LR: 2.50e-04
Epoch 43/200 | Train Loss: 0.2860 | Val Acc: 0.8716 | Prec: 0.8920 | Rec: 0.8479 | F1: 0.8694 | AUC: 0.9280 | LR: 2.50e-04
Epoch 44/200 | Train Loss: 0.2918 | Val Acc: 0.8678 | Prec: 0.8819 | Rec: 0.8517 | F1: 0.8665 | AUC: 0.9242 | LR: 2.50e-04
Epoch 45/200 | Train Loss: 0.2945 | Val Acc: 0.8640 | Prec: 0.8750 | Rec: 0.8517 | F1: 0.8632 | AUC: 0.9282 | LR: 2.50e-04
Epoch 46/200 | Train Loss: 0.2761 | Val Acc: 0.8659 | Prec: 0.8845 | Rec: 0.8441 | F1: 0.8638 | AUC: 0.9253 | LR: 2.50e-04
Epoch 47/200 | Train Loss: 0.2790 | Val Acc: 0.8678 | Prec: 0.8943 | Rec: 0.8365 | F1: 0.8644 | AUC: 0.9224 | LR: 2.50e-04
Epoch 48/200 | Train Loss: 0.2892 | Val Acc: 0.8621 | Prec: 0.8775 | Rec: 0.8441 | F1: 0.8605 | AUC: 0.9194 | LR: 2.50e-04
Epoch 49/200 | Train Loss: 0.2880 | Val Acc: 0.8621 | Prec: 0.8659 | Rec: 0.8593 | F1: 0.8626 | AUC: 0.9263 | LR: 2.50e-04
Epoch 50/200 | Train Loss: 0.2811 | Val Acc: 0.8659 | Prec: 0.8784 | Rec: 0.8517 | F1: 0.8649 | AUC: 0.9253 | LR: 2.50e-04
Epoch 51/200 | Train Loss: 0.2808 | Val Acc: 0.8678 | Prec: 0.8880 | Rec: 0.8441 | F1: 0.8655 | AUC: 0.9226 | LR: 1.25e-04
Epoch 52/200 | Train Loss: 0.2794 | Val Acc: 0.8640 | Prec: 0.8810 | Rec: 0.8441 | F1: 0.8621 | AUC: 0.9291 | LR: 1.25e-04
Epoch 53/200 | Train Loss: 0.2746 | Val Acc: 0.8697 | Prec: 0.8884 | Rec: 0.8479 | F1: 0.8677 | AUC: 0.9312 | LR: 1.25e-04
Epoch 54/200 | Train Loss: 0.2550 | Val Acc: 0.8697 | Prec: 0.8854 | Rec: 0.8517 | F1: 0.8682 | AUC: 0.9302 | LR: 1.25e-04
Epoch 55/200 | Train Loss: 0.2507 | Val Acc: 0.8678 | Prec: 0.8789 | Rec: 0.8555 | F1: 0.8671 | AUC: 0.9298 | LR: 1.25e-04
Epoch 56/200 | Train Loss: 0.2527 | Val Acc: 0.8716 | Prec: 0.8889 | Rec: 0.8517 | F1: 0.8699 | AUC: 0.9293 | LR: 1.25e-04
Epoch 57/200 | Train Loss: 0.2469 | Val Acc: 0.8736 | Prec: 0.8956 | Rec: 0.8479 | F1: 0.8711 | AUC: 0.9290 | LR: 1.25e-04
Epoch 58/200 | Train Loss: 0.2520 | Val Acc: 0.8736 | Prec: 0.8803 | Rec: 0.8669 | F1: 0.8736 | AUC: 0.9303 | LR: 1.25e-04
Epoch 59/200 | Train Loss: 0.2475 | Val Acc: 0.8831 | Prec: 0.9073 | Rec: 0.8555 | F1: 0.8806 | AUC: 0.9300 | LR: 6.25e-05
Epoch 60/200 | Train Loss: 0.2542 | Val Acc: 0.8716 | Prec: 0.8769 | Rec: 0.8669 | F1: 0.8719 | AUC: 0.9341 | LR: 6.25e-05
Epoch 61/200 | Train Loss: 0.2330 | Val Acc: 0.8697 | Prec: 0.8736 | Rec: 0.8669 | F1: 0.8702 | AUC: 0.9358 | LR: 6.25e-05
Epoch 62/200 | Train Loss: 0.2376 | Val Acc: 0.8755 | Prec: 0.8779 | Rec: 0.8745 | F1: 0.8762 | AUC: 0.9346 | LR: 6.25e-05
Epoch 63/200 | Train Loss: 0.2317 | Val Acc: 0.8716 | Prec: 0.8889 | Rec: 0.8517 | F1: 0.8699 | AUC: 0.9341 | LR: 6.25e-05
Epoch 64/200 | Train Loss: 0.2300 | Val Acc: 0.8621 | Prec: 0.8577 | Rec: 0.8707 | F1: 0.8642 | AUC: 0.9316 | LR: 6.25e-05
Epoch 65/200 | Train Loss: 0.2295 | Val Acc: 0.8716 | Prec: 0.8769 | Rec: 0.8669 | F1: 0.8719 | AUC: 0.9329 | LR: 6.25e-05
Epoch 66/200 | Train Loss: 0.2262 | Val Acc: 0.8736 | Prec: 0.8774 | Rec: 0.8707 | F1: 0.8740 | AUC: 0.9341 | LR: 6.25e-05
Epoch 67/200 | Train Loss: 0.2291 | Val Acc: 0.8678 | Prec: 0.8619 | Rec: 0.8783 | F1: 0.8701 | AUC: 0.9343 | LR: 3.13e-05
Epoch 68/200 | Train Loss: 0.2265 | Val Acc: 0.8716 | Prec: 0.8684 | Rec: 0.8783 | F1: 0.8733 | AUC: 0.9341 | LR: 3.13e-05
Epoch 69/200 | Train Loss: 0.2292 | Val Acc: 0.8697 | Prec: 0.8625 | Rec: 0.8821 | F1: 0.8722 | AUC: 0.9318 | LR: 3.13e-05
Epoch 70/200 | Train Loss: 0.2210 | Val Acc: 0.8678 | Prec: 0.8674 | Rec: 0.8707 | F1: 0.8691 | AUC: 0.9336 | LR: 3.13e-05
Early stopping at epoch 71

Test Results: Acc=0.8666, Prec=0.8772, Rec=0.8547, F1=0.8658, AUC=0.9433
